code,title,block_type,description,activity_title,activity_id,options
dim_biensoc_25a,Selecciona la actividad cultural,radio,,Actividades culturales,103,"{'choices': [{'label': 'Cine en el barrio', 'value': 'CINE_BARRIO'}, {'label': 'Celebración y conmemoración de fechas especiales', 'value': 'FECHAS_ESPECIALES'}, {'label': 'Actividades recreativas para infancias y adolescencia', 'value': 'ACTIVIDADES_INFANCIA'}, {'label': 'Actividades para personas adultas y mayores', 'value': 'ACTIVIDADES_ADULTOS_MAYORES'}, {'label': 'Otro', 'value': 'OTRO'}]}"
dim_biensoc_25b,Otro,short_text,"Por favor, especifique.",Actividades culturales,103,
dim_biensoc_25c,Diversidad e integración de personas,radio,Todas las personas son bienvenidas y participan.,Actividades culturales,103,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_25d,Percepción de seguridad,radio,,Actividades culturales,103,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_25e,Precios y costos de servicios,radio,Son bajos y/o gratuitos,Actividades culturales,103,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_25f,Espacio adecuado para la actividad,radio,,Actividades culturales,103,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_25g,Limpieza al finalizar la actividad,radio,,Actividades culturales,103,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_22a,Selecciona la actividad y/o espacio comercial,radio,,Actividades de comercio local,104,"{'choices': [{'label': 'Mercados de objetos y/o bazares', 'value': 'MERCADO_BAZAR'}, {'label': 'Venta callejera de comida y/o alimentos', 'value': 'PUESTO_CALLEJERO'}, {'label': 'Eventos de promoción de iniciativas locales (pequeñas y medianas empresas, emprendimientos)', 'value': 'EVENTO_PROMOCION'}, {'label': 'Otro', 'value': 'OTRO'}]}"
dim_biensoc_22b,Otro,short_text,"Por favor, especifica",Actividades de comercio local,104,
dim_biensoc_22c,Diversidad e integración de personas (todas las personas son bienvenidas y participan),radio,,Actividades de comercio local,104,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_22d,Percepción de seguridad,radio,,Actividades de comercio local,104,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_22e,Precios y costos de servicios,radio,Son bajos y/o gratuitos,Actividades de comercio local,104,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_22f,Espacio adecuado para la actividad,radio,,Actividades de comercio local,104,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
